ID,Year,Quarter,Timeline,Name of Company,Location,Sector,Deals,Round,Stage,Value,Lead Investor,Syndication Partners,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Q1,Q2,Q3,Q4
81,2020,Q4,Oct-20,Remotely,Auckland,Software & Services,1,1,Seed,2500000,Icehouse Ventures,"Icehouse Ventures, Tuhua Ventures",0,0,0,0,0,0,0,0,0,2500000,0,0,0,0,0,2500000
83,2020,Q4,Oct-20,Spalk,Auckland,Software & Services,1,4,Start-up,750000,Sparkbox,"Sparkbox, Aspire",0,0,0,0,0,0,0,0,0,750000,0,0,0,0,0,750000
84,2020,Q4,Oct-20,Tradify,Auckland,Software & Services,1,3,Start-up,1500000,Private,"K1W1, private investors",0,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,1500000
86,2020,Q3,Oct-20,BoardPro,Auckland,Software & Services,1,2,Start-up,2000000,Private,"Icehouse Ventures, private investors",0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,2000000,0
87,2020,Q3,Oct-20,Koordinates,Auckland,Software & Services,1,2,Start-up,500000,Private,"Icehouse Ventures, private investors",0,0,0,0,0,0,0,0,0,500000,0,0,0,0,500000,0
88,2020,Q3,Oct-20,uTecture,Auckland,Software & Services,1,2,Start-up,1500000,Private,Private investors,0,0,0,0,0,0,0,0,0,1500000,0,0,0,0,1500000,0
89,2020,Q4,Nov-20,Figured Limited,Auckland,Software & Services,1,10,Early Expansion,250000,Enterprise Angels,Enterprise Angels,0,0,0,0,0,0,0,0,0,0,250000,0,0,0,0,250000
90,2020,Q4,Nov-20,Sharesises,Auckland,Software & Services,1,3,Start-up,2500000,Private,"TradeMe, K1W1, Icehouse Ventures",0,0,0,0,0,0,0,0,0,0,2500000,0,0,0,0,2500000
91,2020,Q4,Nov-20,StockTrim,Auckland,Software & Services,1,1,Seed,750000,Icehouse Ventures,Private investors,0,0,0,0,0,0,0,0,0,0,750000,0,0,0,0,750000
93,2020,Q4,Nov-20,VMG Digital,Auckland,Software & Services,1,1,Seed,1000000,Marlborough Angels,"Marlborough Angels, Aspire",0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,1000000
94,2020,Q4,Dec-20,Goodeal,Auckland,Software & Services,1,1,Seed,500000,Icehouse Ventures,Private Investors,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,500000
95,2020,Q4,Dec-20,Mint Innovation,Auckland,Materials,1,2,Start-up,2500000,Movac,"Movac, Blackbird Ventures, Icehosue Ventures",0,0,0,0,0,0,0,0,0,0,0,2500000,0,0,0,2500000
96,2020,Q4,Dec-20,Multitudes,Auckland,Software & Services,1,1,Start-up,2500000,Blackbird Ventures,"Blackbird, private investors",0,0,0,0,0,0,0,0,0,0,0,2500000,0,0,0,2500000
97,2020,Q4,Dec-20,Quashed,Auckland,Software & Services,1,1,Seed,750000,Icehouse Ventures,Private Investors,0,0,0,0,0,0,0,0,0,0,0,750000,0,0,0,750000
98,2020,Q4,Dec-20,Relab,Auckland,Software & Services,1,1,Seed,1000000,Icehouse Ventures,Private Investors,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,1000000
99,2020,Q4,Dec-20,Relay,Auckland,Software & Services,1,2,Start-up,1500000,Icehouse Ventures,International Funds,0,0,0,0,0,0,0,0,0,0,0,1500000,0,0,0,1500000
100,2020,Q4,Dec-20,Weirdly,Auckland,Software & Services,1,1,Start-up,750000,Punakaikai Fund,"Punakaikai Fund, K1W1, private investors",0,0,0,0,0,0,0,0,0,0,0,750000,0,0,0,750000
101,2020,Q4,Dec-20,Datagate Innovation,Auckland,Software & Services,1,4,Start-up,1500000,Enterprise Angels,"Enterprise Angels, Flying Kiwi Angels, Icehouse",0,0,0,0,0,0,0,0,0,0,0,1500000,0,0,0,1500000
103,2020,Q4,Dec-20,Kwotimation,Auckland,Software & Services,1,1,Seed,500000,Hillfarrance,"Hillfarrance, Flying Kiwi Angels",0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,500000
10,2020,Q1,Mar-20,Limpidity,Christchurch City,Transportation,1,2,Start-up,750000,Ice Angels,Private investors,0,0,750000,0,0,0,0,0,0,0,0,0,750000,0,0,0
31,2020,Q2,Jun-20,EVNEX,Christchurch City,Technology Hardware & Equipment,1,2,Start-up,750000,Canterbury Angels,"Canterbury Angels, Angel HQ, EA",0,0,0,0,0,750000,0,0,0,0,0,0,0,750000,0,0
33,2020,Q2,Jun-20,Hivemind,Christchurch City,Technology Hardware & Equipment,1,2,Seed,500000,Flying Kiwi Angels,"Flying Kiwi Angels, CA, AIM & other angels",0,0,0,0,0,500000,0,0,0,0,0,0,0,500000,0,0
43,2020,Q3,Jul-20,Chatterize,Christchurch City,Software & Services,1,1,Seed,1500000,Icehouse Ventures,"AngelHQ, FKA, Blackbird",0,0,0,0,0,0,1500000,0,0,0,0,0,0,0,1500000,0
44,2020,Q3,Jul-20,HiveMind,Christchurch City,Software & Services,1,1,Seed,750000,Flying Kiwi Angels,"Flying Kiwi Angels, Canterbury Angels, Launch Taranaki",0,0,0,0,0,0,750000,0,0,0,0,0,0,0,750000,0
55,2020,Q4,Aug-20,Dawn Aerospace Limited,Christchurch City,Technology Hardware & Equipment,1,1,Start-up,750000,Icehouse Ventures,"Icehouse Ventures, Enterprise Angels",0,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,750000
77,2020,Q4,Oct-20,Onside,Christchurch City,Software & Services,1,1,Seed,2500000,Icehouse Ventures,"Icehouse Ventures, K1W1",0,0,0,0,0,0,0,0,0,2500000,0,0,0,0,0,2500000
80,2020,Q4,Oct-20,Partly,Christchurch City,Software & Services,1,1,Seed,2000000,Blackbird Ventures,"Blackbird, Hillfarrance, Icehouse Ventures",0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,2000000
